id       A1    A2    A3    
P1       76       95       33       
P2       46       38       52       
P3       91       29       17       
P4       86       97       3        
P5       56       61       23       
P6       41       5        87       
P7       35       53       20       
P8       7        62       33       
P9       74       69       31       
P10      78       45       10       
P11      31       42       87       
P12      78       44       47       
P13      23       76       84       
P14      60       67       47       
P15      25       11       72       
P16      96       10       39       
P17      28       79       65       
P18      98       94       94       
P19      36       51       5        
P20      16       55       21       
P21      6        84       59       
P22      81       21       7        
P23      9        47       54       
P24      32       74       18       
P25      12       35       24       
P26      87       64       84       
P27      11       23       84       
P28      18       6        26       
P29      52       76       41       
P30      29       81       60       
P31      86       83       13       
P32      52       96       16       
P33      24       22       87       
P34      99       48       32       
P35      31       42       45       
P36      60       65       36       
P37      91       61       8        
P38      11       4        5        
P39      26       59       47       
P40      35       70       88       
P41      7        1        74       
P42      88       58       99       
P43      9        41       21       
P44      21       86       90       
P45      33       64       53       
P46      60       20       33       
P47      16       25       18       
P48      39       3        9        
P49      95       99       37       
P50      78       62       25       
P51      82       94       81       
P52      62       97       15       
P53      96       49       19       
P54      11       52       99       
P55      75       21       80       
P56      60       33       80       
P57      46       71       90       
P58      79       48       22       
P59      21       15       95       
P60      8        88       66       
P61      22       52       71       
P62      21       84       63       
P63      6        81       3        
P64      9        54       90       
P65      21       77       57       
P66      80       5        91       
P67      99       19       28       
P68      24       94       18       
P69      26       46       74       
P70      68       35       77       
P71      70       96       82       
P72      61       7        80       
P73      57       9        86       
P74      46       76       17       
P75      86       58       61       
P76      61       36       26       
P77      97       71       63       
P78      91       32       44       
P79      64       74       23       
P80      90       30       97       
P81      51       57       43       
P82      56       87       88       
P83      39       95       54       
P84      55       87       89       
P85      59       8        78       
P86      23       22       83       
P87      36       88       36       
P88      91       72       74       
P89      99       34       84       
P90      98       84       12       
P91      32       24       63       
P92      21       12       18       
P93      32       61       15       
P94      51       49       42       
P95      12       27       71       
P96      49       8        10       
P97      57       97       2        
P98      54       61       14       
P99      11       47       78       
P100     2        27       71       
P101     60       18       98       
P102     78       66       76       
P103     8        13       30       
P104     16       2        86       
P105     40       57       33       
P106     75       45       22       
P107     50       53       43       
P108     50       21       28       
P109     81       1        4        
P110     94       83       9        
P111     72       68       8        
P112     42       90       56       
P113     38       58       95       
P114     29       25       17       
P115     33       58       81       
P116     60       67       27       
P117     40       45       45       
P118     30       38       79       
P119     13       37       23       
P120     40       7        35       
P121     80       62       7        
P122     90       16       26       
P123     68       25       70       
P124     76       73       20       
P125     71       75       65       
P126     1        54       4        
P127     13       53       45       
P128     27       9        64       
P129     91       86       99       
P130     41       79       16       
P131     15       78       68       
P132     69       8        65       
P133     95       3        98       
P134     53       22       89       
P135     95       48       67       
P136     96       31       65       
P137     5        92       7        
P138     29       63       8        
P139     45       39       71       
P140     99       86       14       
P141     35       75       66       
P142     80       70       63       
P143     92       40       61       
P144     21       42       60       
P145     78       42       40       
P146     70       31       6        
P147     34       89       92       
P148     97       9        100      
P149     95       61       50       
P150     55       48       53       
P151     26       50       48       
P152     37       82       4        
P153     4        23       98       
P154     68       19       80       
P155     93       2        86       
P156     14       4        17       
P157     48       11       33       
P158     97       37       70       
P159     24       38       84       
P160     40       96       45       
P161     72       4        99       
P162     9        29       52       
