label,count
disorder,261271
procedure,154872
body structure,100667
organism,96074
finding,95702
substance,82892
physical object,31699
qualifier value,30893
observable entity,29153
medicinal product,18300
clinical drug,18027
medicinal product form,15332
morphologic abnormality,14586
situation,13143
occupation,7772
regime/therapy,7638
event,7399
specimen,4587
assessment scale,4022
product,3680
cell,3078
environment,2843
attribute,2548
cell structure,1655
geographic location,1462
dose form,1364
record artifact,1154
person,1109
namespace concept,1033
disposition,935
foundation metadata concept,682
religion/philosophy,506
tumor staging,504
physical force,442
role,267
basic dose form,148
core metadata concept,146
unit of presentation,120
staging scale,88
intended site,68
social concept,63
administration method,42
racial group,24
calculation,24
